Water_Detected,Hands_in_Water,Soap_Score,Expected_Water_Detection,Expected_Water_Location,Expected_Soap_Score
195.0,0.0,0.0,320242.3500000007,0.0,0.0,1.
196.0,0.0,0.0,308090.3500000007,0.0,0.0,1.
197.0,0.0,0.0,346337.3500000007,0.0,0.0,1.
198.0,0.0,0.0,411390.3500000007,0.0,0.0,1.
199.0,0.0,0.0,422246.3500000007,0.0,0.0,1.
200.0,0.0,0.0,297293.6499999993,0.0,0.0,1.
201.0,0.0,1.0,293095.6499999993,0.0,0.0,1.
202.0,0.0,1.0,420959.3500000007,0.0,0.0,1.
203.0,0.0,1.0,290606.3500000007,0.0,0.0,1.
204.0,0.0,0.0,312377.3500000007,0.0,0.0,1.
205.0,0.0,0.0,292955.3500000007,0.0,0.0,1.
206.0,0.0,1.0,281069.6499999993,0.0,0.0,1.
207.0,0.0,1.0,297745.3500000007,0.0,0.0,1.
208.0,0.0,1.0,339524.3500000007,0.0,0.0,1.
209.0,0.0,1.0,333340.3500000007,0.0,0.0,1.
210.0,0.0,1.0,321885.3500000007,0.0,0.0,1.
211.0,0.0,1.0,352288.3500000007,0.0,0.0,1.
212.0,0.0,1.0,305368.3500000007,0.0,0.0,1.
213.0,0.0,0.0,287518.6499999993,0.0,0.0,1.
214.0,0.0,0.0,288977.3500000007,0.0,0.0,1.
215.0,0.0,0.0,300187.3500000007,0.0,0.0,1.
216.0,0.0,0.0,290440.6499999993,0.0,0.0,1.
217.0,0.0,0.0,291952.6499999993,0.0,0.0,1.
218.0,0.0,0.0,306148.3500000007,0.0,0.0,1.
219.0,0.0,0.0,290978.3500000007,0.0,0.0,1.
220.0,0.0,0.0,284511.3500000007,0.0,0.0,1.
221.0,0.0,1.0,302271.3500000007,0.0,0.0,1.
222.0,0.0,1.0,285410.3500000007,0.0,0.0,1.
223.0,0.0,1.0,297188.3500000007,0.0,0.0,1.
224.0,0.0,1.0,295525.3500000007,0.0,0.0,1.
225.0,0.0,0.0,316475.3500000007,0.0,0.0,1.
226.0,0.0,0.0,315687.3500000007,0.0,0.0,1.
227.0,0.0,0.0,307063.3500000007,0.0,0.0,1.
228.0,0.0,0.0,290168.3500000007,0.0,0.0,1.
229.0,0.0,0.0,319674.3500000007,0.0,0.0,1.
230.0,0.0,0.0,299896.3500000007,0.0,0.0,1.
231.0,0.0,0.0,321841.3500000007,0.0,0.0,1.
232.0,0.0,0.0,307898.3500000007,0.0,0.0,1.
233.0,0.0,0.0,284731.3500000007,0.0,0.0,1.
234.0,0.0,0.0,291546.6499999993,0.0,0.0,1.
235.0,0.0,0.0,316061.3500000007,0.0,0.0,1.
236.0,0.0,0.0,282415.6499999993,0.0,0.0,1.
237.0,0.0,0.0,292980.3500000007,0.0,0.0,1.
238.0,0.0,0.0,259095.35000000068,0.0,0.0,1.
239.0,0.0,0.0,377591.3500000007,0.0,0.0,1.
240.0,0.0,0.0,368442.3500000007,0.0,0.0,1.
241.0,0.0,0.0,410961.3500000007,0.0,0.0,1.
242.0,0.0,0.0,338297.3500000007,0.0,0.0,1.
243.0,0.0,0.0,406282.3500000007,0.0,0.0,1.
244.0,0.0,0.0,403826.3500000007,0.0,0.0,1.
245.0,0.0,0.0,340933.3500000007,0.0,0.0,1.
246.0,0.0,0.0,329174.3500000007,0.0,0.0,1.
247.0,0.0,0.0,365432.3500000007,0.0,0.0,1.
248.0,0.0,0.0,384061.3500000007,0.0,0.0,1.
249.0,0.0,0.0,399432.3500000007,0.0,0.0,1.
250.0,0.0,0.0,399272.3500000007,0.0,0.0,1.
251.0,0.0,1.0,385949.3500000007,0.0,0.0,1.
252.0,0.0,1.0,400664.3500000007,0.0,0.0,1.
253.0,0.0,0.0,371974.3500000007,0.0,0.0,1.
254.0,0.0,1.0,428325.3500000007,0.0,0.0,1.
255.0,0.0,1.0,327740.3500000007,0.0,0.0,1.
